"","hdd_coef","cdd_coef","hdd_p","cdd_p","r_square","RSE","intercept"
"RL1",-0.0424323169208664,1.32544990373244,0.987728761557711,0.32298791260137,0.135978490099747,4.22625076288293,4.90612849625306
"RL12",1.31729659638306,3.30623670355006,0.741644529300414,0.213601828007305,0.220780845242671,5.68235719069845,-11.4362266823722
"RL14",-2.18997632536684,0.0250256479304135,0.617163838139979,0.990091581009808,0.0590790305596468,4.45822986920452,12.4327616354276
"RL16",9.31427999682055,4.72908303854567,0.0177687129644998,0.000250524135546165,0.79206707138833,3.25165939216687,-20.7476619701018
"RL18",-2.74509623155158,0.497643581570657,0.849821340269757,0.881992959230792,0.02250607637699,9.91277434303463,19.7493838732862
"RL19",9.33251843621061,5.27750214248937,0.336478055143163,0.0494219124915047,0.365953753083124,9.65228696753409,-26.4719283193479
"RL20",921.094604842613,2.48981669992983,0.615023195729627,0.518936845489274,0.0476725953936072,11.8834667206314,-5.66044712731998
"RL23",3.26403976626983,3.08980150926484,0.555800412588871,0.00453381829428024,0.576239292674134,6.2893682415394,-10.2732386084268
"RL24",14.8611882894026,3.69451444320889,0.333119684824345,0.158251953519544,0.225267143370249,5.9579100385748,-30.4636610311652
"RL27",0.590685804494757,2.05247890892871,0.884410807721976,0.00882069207146061,0.516731054709308,4.83663749421173,1.33643244613141
"RL28",72.4078701360494,5.30501913629716,0.36773968699331,0.169512472963399,0.216060261994865,8.768509361274,-38.5654343111574
"RL3",8.49394264533249,3.37266075261977,0.0837891327164742,0.00715199796144667,0.590739841913939,2.8635469919407,-22.3207404414782
"RL30",0.229328355793661,1.79918059472947,0.904474380783578,0.257178699110916,0.143320738248033,5.54317981682647,5.63591630927474
"RL31",NA,2.19984587704737,NA,0.0267882981659217,0.402138329770761,4.8230661527836,-0.56393660775048
"RL32",3.76908731059466,1.23889158898913,0.664223374125291,0.543603592446654,0.0443287012267172,8.83268660157005,12.5126210352502
"RL36",21.0811154851205,4.72969589719375,0.157170186991619,0.000362932060407775,0.736360063761519,6.9772532091228,-25.7077323422833
"RL38",10.1665782445073,6.5573891921539,0.167371837699721,0.0322848249005808,0.42362111815477,7.044725390375,-38.6491149522168
"RL39",3.42398838132222,3.00860613442765,0.524680291494002,0.00413916815880232,0.580369059085542,6.1699886151669,-7.46970123674725
"RL4",NA,2.716086645621,NA,0.0817392492918002,0.272445616182288,5.51000045980017,-6.46203643147192
"RL41",3.03049389036191,2.31373860411443,0.845792718734522,0.0326044485918012,0.396672709613231,7.77875610581566,-1.57579901475477
"RL43",4.73288793274244,1.81487403261784,0.3998574721399,0.00667290150402817,0.53765845189199,4.97499074897152,-8.45484439227519
"RL47",5.685789365508,4.58103946205462,0.419906046096088,0.102872138058054,0.308113853962717,6.51373071451877,-28.265503241689
"RL49",NA,1.505985495657,NA,0.000774902729521951,0.657182943297096,3.12208559973328,-3.03358274513762
"RL5",5.87994385343698,4.69105639518514,0.289007377891796,0.0787244147838257,0.310777278174891,6.65778833359157,-23.7494460242761
"RL50",7.32859754315401,3.30081862362913,0.583823136059715,0.0152751908356947,0.466875996352365,9.22295393336143,-16.2186009055839
"RL51",1.10296046014081,1.85105846337538,0.645967694326729,0.0816539797945528,0.300656002368799,3.90957254092679,-2.9462906626742
"RL52",1.76056715187629,2.41102689205658,0.885527072652473,0.148262303328311,0.22203472330925,10.6181893589263,-5.61374228938332
"RL53",4.27616065122931,2.80763741251876,0.463636797976681,0.150260081617048,0.2178474030677,5.61510632372621,-2.13237814242648
"RL54",9.18007230077098,4.57542169768943,0.0951643257517443,0.00587517505353738,0.614567979406257,4.04829293186759,-32.4737991383549
"RL55",1.93049885006089,3.16775794978936,0.541189268308006,0.000745584865581044,0.707439560115247,4.30068078972103,-12.3637505699081
"RL56",-14.1088620573801,-0.755094437088584,0.53317774907495,0.761644183892913,0.0410994343752217,10.0283561355908,27.0841131539991
"RL58",13.2832122299188,6.17796703365819,0.348688520470723,0.0973122450778037,0.301099722379029,8.57691827070649,-38.3880449534093
"RL59",8.52606449844086,4.44583845183721,0.333367204436238,0.0677535778733766,0.337016231732725,6.12214933109251,-20.9652015008663
"RL6",NA,1.9535678706558,NA,0.126997087426177,0.216937758652079,4.70458045891163,-4.20911696437707
"RL61",1.61799390943773,1.07685846699068,0.827755098380627,0.157161439489195,0.197854921545685,5.12447318650491,-2.59539327164222
"RL62",19.0241430050633,4.44498606613344,0.158578016684179,0.00970324107627608,0.556701802190503,5.07151095515743,-23.0680037948322
"RL63",18.4561180639751,5.79389555675958,0.123477579250067,0.0119438643845093,0.539951460436454,5.65362221809026,-35.8767696732538
"RL7",NA,1.21653850620575,NA,0.30496049549652,0.104677137410013,4.21064894026102,3.02270358861377
"RL9",1.00449895977723,1.78328980695229,0.902543964185665,0.545022780729799,0.05729737399511,7.37372999027606,6.89102542697868
