t,TOD,c,dhsp,dcsp,d_hv,d_,soc,rmt,occ,hsp,csp,odt,tou,r
1,1,-3,0,3,5,5,5,5,true,4,6,5,2,-14.0
2,2,-3,-3,0,0,0,2,4,true,4,9,2,2,10.0
3,3,0,0,-3,0,0,0,4,false,1,9,4,5,0.0
4,4,3,-3,0,0,4,0,6,true,1,6,8,5,-14.0
5,5,-3,0,3,2,4,3,6,true,1,6,8,2,-6.0
6,1,3,3,0,0,2,0,4,true,1,9,4,2,-10.0
7,2,-3,-3,0,0,0,3,4,false,4,9,2,2,15.0
8,3,0,0,-3,0,0,0,4,false,1,9,4,5,0.0
9,4,-3,-3,0,0,6,0,6,true,1,6,7,5,-12.0
10,5,-3,0,3,1,1,0,6,true,1,6,8,2,-4.0
11,1,3,1,-3,0,3,0,5,true,1,9,5,2,-12.0
12,2,-3,-3,0,0,2,3,3,false,2,6,3,2,-10.0
13,3,-3,-3,0,0,0,0,5,false,1,6,5,5,0.0
14,4,-3,0,0,0,7,0,6,true,1,6,6,5,-14.0
15,5,0,0,3,0,1,0,6,true,1,6,7,2,-2.0
16,1,3,3,0,0,0,0,4,true,1,9,4,2,-6.0
17,2,-3,-3,0,0,5,3,4,false,4,9,2,2,-10.0
18,3,-3,0,-3,0,1,0,6,false,1,9,6,5,-5.0
19,4,0,-3,0,0,4,0,6,true,1,6,7,5,-8.0
20,5,-3,0,3,1,2,0,6,true,1,6,7,2,-6.0
